id,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24
481320d0-3239-4a35-9264-89ae40af4190,12,22,25,39,16,78,77,19,62,34,34,74,27,27,23,77,22,13,25,22,14,82,31,55,80
939eae7b-afc7-437a-81e3-1e9615897027,13,2,31,45,11,126,31,20,7,16,43,103,12,90,17,201,13,1,45,24,7,45,21,18,48
f0523037-8310-4453-bc0b-cf2fe91d7206,34,35,39,26,30,32,38,40,18,35,27,148,34,88,33,79,38,13,27,24,27,35,23,30,39
aa095261-408b-4fc6-a64e-69e7f11409ed,36,34,44,20,25,16,61,35,49,32,22,105,21,118,36,50,39,23,18,21,9,50,16,55,32
d0a9088a-7789-4960-aece-ee7695292990,43,8,43,13,16,335,10,54,11,9,6,16,27,137,11,24,30,3,103,15,12,17,11,9,25
193cc528-3328-4ba7-b285-3adb8a0f7586,16,26,19,27,28,23,34,28,26,23,21,250,27,59,45,118,25,22,29,16,15,24,28,30,32
3f354f22-d0ef-43c4-880e-01e77c0bf4b8,14,21,17,27,21,37,75,15,72,29,25,144,22,25,13,117,25,25,15,29,14,48,23,82,62
9eb264eb-548e-4452-955a-fb5572e43cf6,0,4,1,1,1,1,73,1,32,4,15,670,1,1,2,108,4,2,1,2,0,12,3,40,18
13039d38-d25f-4bd3-b4c8-0efcc4aa606a,8,35,8,16,9,10,124,4,109,20,39,261,11,2,7,101,13,14,5,18,5,36,11,74,60
e6477e75-1729-4e1a-8166-963a1ed02556,7,26,22,43,14,46,109,10,57,41,53,106,20,19,11,105,32,11,19,14,13,68,24,54,67
a21ba7ca-1bbb-4b84-9b6e-1d0de4ee28bc,7,25,9,52,10,85,76,11,41,50,60,77,13,5,8,106,27,4,22,16,17,74,35,54,93
304fc295-f208-40b6-8d66-b5cef921ade0,0,12,6,11,0,8,78,0,59,15,13,359,3,0,0,244,8,8,2,4,1,21,3,48,73
1669aee8-800f-4908-962b-b9cf4211f334,15,27,28,37,25,51,64,19,36,42,43,130,21,40,4,109,26,12,15,27,21,68,25,42,57
cb0040a0-1eea-44ae-a914-02142d1e7b9c,7,16,6,23,2,19,104,5,45,20,31,260,8,6,7,165,11,12,7,17,1,55,14,52,101
7f5b0dc5-dfb7-42a8-98c4-4c52cbb1eb7f,8,21,10,48,16,101,68,10,44,40,35,104,14,4,8,130,24,3,26,16,9,71,33,40,107
035fdf1f-b813-4ea6-9395-f2ea38ccaee6,0,13,4,32,9,34,92,1,51,44,34,117,10,1,2,235,11,2,5,11,5,76,20,34,140
ae5b4b33-a07a-4a5b-9b81-1d243b1b9af7,11,37,18,41,27,46,88,14,81,48,38,73,13,13,3,102,35,9,31,20,32,56,30,53,76
c1a65d54-f8c0-40a7-bda0-d06f304a0f68,29,20,26,49,43,125,27,35,27,53,35,38,38,32,13,46,52,6,64,41,45,27,37,38,46
7ea16638-9b85-4581-89d2-8e9c0e52096d,32,37,37,38,47,75,35,72,23,43,25,61,34,48,28,35,37,9,57,28,38,29,40,30,52
01954393-6fd5-422b-bf9e-36fab4452619,21,26,23,48,26,59,62,25,54,28,31,106,28,18,10,110,30,9,47,31,20,50,24,28,72
933463fd-242e-4884-b149-07af70445139,1,25,4,30,5,31,114,5,58,34,26,191,10,5,1,197,18,4,6,6,3,43,15,63,100
a0384210-a7e3-45b9-b82f-8a962bd71229,4,5,3,11,0,20,96,2,63,16,28,329,7,11,5,212,7,3,4,3,2,29,6,52,72
910fdcf7-fb14-4c52-865d-1cee333d5e60,35,21,50,45,34,75,37,45,32,35,38,57,35,30,16,53,56,14,53,38,30,36,34,46,52
3ab9df98-55de-4f7a-80d6-2055c0739ceb,2,8,0,18,1,11,103,0,54,22,24,293,5,0,0,240,5,2,2,8,1,35,11,61,79
ac97687c-bfb7-4903-b041-78b70e4cc1e3,28,23,29,38,26,74,50,40,25,32,24,124,30,40,16,121,29,15,29,28,21,46,31,26,46
38d78192-7b3d-4550-aa14-9ab1134a9fd3,31,24,64,28,26,42,20,52,24,13,24,84,33,177,27,63,30,14,27,35,21,26,22,22,42
8e8f5aba-0399-4450-b778-73c18d80e977,50,33,52,16,22,6,29,56,38,19,23,102,39,174,59,36,29,34,16,37,7,20,27,46,28
63b4672b-7417-431d-9f5d-110ae7bbb25d,27,28,46,37,17,35,28,44,29,20,24,188,28,33,24,109,28,18,36,37,15,32,28,30,37
c7e8578a-1c57-4f26-bcd7-915e1e8d7e9e,1,14,0,16,5,27,136,0,36,25,16,47,1,0,2,140,4,8,4,2,2,47,14,55,99
e692067b-f490-4f7d-9a30-c77d75fedf19,31,26,27,32,40,78,39,45,39,37,47,96,29,23,12,71,43,9,38,25,24,46,37,60,45
01fe54a6-9ec6-41b8-b625-df0e213262b8,5,27,10,26,10,12,84,8,57,28,25,237,20,11,8,130,21,12,11,13,4,47,21,68,59
